,name,price,location,offerer,id,description,year,manufacturer,model,category,length,fuel_type,hull_material,hull_shape,country
11,2004 Custom Build Gulet2004 Custom Build Gulet,3000000.0,türkei,Gino Group,469900,"37.50 m Motorsailor traditionally built -Iroko on mahogany frames
Continuously maintained and very well kept by the owners.
The boat has undergone a major refit during last year in 2019 so she is absolutely in excellent condition
Currentşy ready for inspection here in Southern Turkey
Please ask for more details..Mehr anzeigen",2004,Custom Build,Gulet,Racer/ Cruiser Segelboote,37.49,diesel,wood,,turkey
12,2004 Custom Build Gulet2004 Custom Build Gulet,2800000.0,türkei,Gino Group,470478,"Outstanding 37 m wooden Gulet with classic lines and airy and comfortable interiors.
Notes:Refrigerator, Minibar,TV & DVD in all cabins
Available for inspections in southern Turkey
Please contact us for more information. Mehr anzeigen",2004,Custom Build,Gulet,Decksalon Segelboote,36.88,diesel,wood,,turkey
13,2008 Custom Build Motorsailer2008 Custom Build Motorsailer,2600000.0,türkei,Gino Group,469932,"37 meter ketch motorsailer - Unusual but smartly laid out custom yacht , it must be seen to be appreciated , ideal for large family or corporate use for private or upmarket charters .Viewings highly recommended Mehr anzeigen",2008,Custom Build,Motorsailer,Motorsegler (Segel),36.88,diesel,wood,,turkey
14,1996 Muzaffer Mengi Yachting Motorsailer Ketch1996 Muzaffer Mengi Yachting Motorsailer Ketch,1250000.0,türkei,Gino Group,469434,"Satellite Antenna 
Well Maintained and Kept Motor Sailor, First Owner Always used in Private  Mehr anzeigen",1996,Muzaffer Mengi Yachting,Motorsailer Ketch,Segelyachten,36.88,diesel,wood,,turkey
15,1910 Tweemast Charter Zeeklipper 22 pass 1910 Tweemast Charter Zeeklipper 22 pass ,199500.0," omgeving lemmer, niederlande",Doeve Makelaars,7937419,"The Skylge is a beautifully built two-masted clipper that came into service in 1910 as a sailing freighter. She was built under Lloyds class for the Wad and Sound shipping. In 1986 the ship was converted into a charter ship. The ship has spacious guest rooms with newly fitted sanitary facilities. There is room for 22 hotel guests or 35 day guests. The ship has the ideal dimensions to sail the Western Baltic Sea, but she also comes into her own in the German Wadden Sea. The ship also has a neat crew quarters in the aft cabin and a cabin for the mate in the forecastle. In 2011/2012 the engine room was completely packed and, among other things, a new engine was installed (cost approx. 120,000 Euro). A good ship with many possibilities. It can be supplied with new certificates for an additional charge. Full information about this ship can be found at www.doevemakelaar.nl or if you want to view the complete information about this ship by clicking here.


Certificates: certificates expired EU 2009/45/EC persons on board including crew RH Class certificate Commercial shipping Z 1,2,3,4, No Ice sailing area II, NSI 16 Special Purpose Ship Safety Certificate
Suitable for / as: coastal waters commercial shipping suitable for charter suitable for habitation
General information: Sellers may be willing to provide partial financing. Know-how and information about the sailing areas can be passed on.


Year of manufacture: 1986
Construction method: riveted new steel is welded wide gangways mountain wood around buoy / bulwark aft deck clipper bow heavily built 3 watertight bulkhead(s) 1 watertight door(s)
Windows: hardwood window profiles hardwood exterior doors
Insulation: rock wool


Galley / kitchen: 2x U-shape galley
Cooker: 4-burner stove & 3-burner stove
Worktop: 2x hardwood worktop
Sink: 2x stainless steel sink 1x stainless steel sink
Water tap: 2x mixer tap with hot & cold running water


Steering: mechanical steering wheel on steering column 2x steel rudder


Navigation equipment: JRC J-NAV 500 GPS JRC NCR 300A Navtex ARC Nauticast Automatic Identification System (AIS) Sailor RM2042 VHF with DSC Debeg 6348 VHF compass navigation lights Navman echo sounder / depth sounder Navman log / speed Navman electric compass 2x Navico GMDSS


Paneling: various materials have been used, see photos
Bathroom: guest cabins with sink with hot & cold running water 2x bathrooms, each with: sink with hot & cold running water shower thermostat tap in 1 room together with the toilet crew quarters: shower sink with hot & cold running water
Additional information: suitable for charter suitable for living commaliewant coffee machine


Railing / Pulpit: guard rail on buoy / bulwark
Safety: automatic fire extinguishing system in engine compartment survival suit(s) fire extinguishers fire blanket smoke detector(s) life jackets life buoy(s) flares according to the certification requirements


Rigging type: gaff kits rigged
Mast: 2x larch
Ironable: no
Boom: 2x larch
Fork: 2x larch
Kluiverboom / Bowsprit: wooden bowsprit
Material of the sails: Dacron
Sails: mainsail 123 m2 mizzen 65 m2 boom jib 56 m2 inside jib 42 m2 outside jib 42 m2 kite 33 m2
Additional information: hoods breeding tree nail bank


Power supply: 24 / 230 Volt 230 Volt shore power connection Victron VE bus Multicontrol
Earth leakage switch: present


Additional information: 35 day passengers 22 hotel passengers forepeak with chain locker classic lines beautiful sheer Specified width does not include the side swords. Hull shape is suitable for falling dry. Very suitable for navigating the coastal waters.
Drinking water tank (approx.): 5000 liters 2 steel tank(s) cemented tank(s)
Holding tank (approx.): 4100 liters 3 steel tank(s)
Entertainment: radio/CD player
Additional information: 3x hardwood cuckoo gangway deck lighting sundeck Inspection report of the underwater hull is available (10-2013)


Water pressure system: Speck hydrophore
Gas system: yes, bottle(s) in cover gaskeur certificateMehr anzeigen",1910,Tweemast Charter Zeeklipper 22 pass,,Kommerzielle Schiffe (Segel),36.0,diesel,steel,other,netherlands
16,2011 Viking Ship Construction Motorsailer2011 Viking Ship Construction Motorsailer,2500000.0,türkei,Gino Group,3608819,"She  is a unique and extraordinarily beautiful 36 m ketch motorsailor , Rina classed , she features an interior by her builders Viking marine's in-house design team ,accommodations are up to 10 guests in her five staterooms, all mahogany wooden surfaces in silk finished varnishings,  alacantra walls ,bathrooms with a liberal use of fine Turkish marbles , jacuzzi on forward deck ,stern hydraulic openning swim platform  ideal for diving etc..
Viewings highly recommnended.         Mehr anzeigen",2011,Viking Ship Construction,Motorsailer,Motorsegler (Segel),36.0,diesel,wood,Monohull ,turkey
17,2011 SALMAKIS TUR.TIC.YAT KETCH2011 SALMAKIS TUR.TIC.YAT KETCH,4000000.0,"bodrum, türkei",Gino Group,6148316,5 Jakuzi4 x Antal Sail WinchesSelmar Purification Show more,2011,SALMAKIS TUR.TIC.YAT,KETCH,Gulets (Segel),35.5,diesel,wood,,turkey
18,2011 Custom Mirror Yacht Shipyard Built 35 meter Ketch Motorsailer2011 Custom Mirror Yacht Shipyard Built 35 meter Ketch Motorsailer,2890000.0,"southern turkey, türkei",Gino Group,7649199,"Glorious II is a true luxury ketch motorsailer was built by Mirror Shipyard in Fethiye/Turkey in 2011 and her beautiful interiors and exterior designed by Esen Yacht. She can host up to 8 guest in 4 cabins including a master suite, 2 x VIP stateroom and 1 x Twin ensuite cabin. As well as there is also crew accomodation for 6 aboard. 
The boat has undergone a major refit last year in 2019 and the owners have invested almost €1 million in her repairs, replacement and upgrades. Her Commercial Rina Classification has also been renewed this year so that the boat can optionally be operated in VIP charter or can either be used privately. 
EU Vat for Malta is also paid. 
Definitely a must-see boat to be appreciated. Currently available for pre-inspections in southern Turkey by advanced booking prior to your visit.
Please contact us for further information or arranging a viewing appointment.
 
 Mehr anzeigen",2011,Custom,Mirror Yacht Shipyard Built 35 meter Ketch Motorsailer,Motorsegler (Segel),35.4,diesel,wood,,turkey
19,2018 Van De Stadt Van de Stadt 1102018 Van De Stadt Van de Stadt 110,700000.0,"gdansk, polen",Segel Masten Yachten,6700912,Aluminum hull with expansion optionShow more,2018,Van De Stadt,Van de Stadt 110,Decksalon Segelboote,35.0,diesel,Aluminium,,poland
20,1987 Schooner Baltimore Fishing1987 Schooner Baltimore Fishing,650000.0,"contact de valk portugal, portugal",De Valk Group B.V,8196697,"Model: SCHOONER BALTIMORE FISHING Type: sailing yacht LOA (m): 34,70 LWL (m): 26,00 Beam (m): 7,10 Draft (m): 3,00 Air draft (m): 34,00 Headroom (m): 2,00 Year built: 1987 Launched: 1987 Builder: estaleiro navais do seixal Country: Portugal Designer: Jim Krogen Displacement (t): 73 Gross tonnage: 107 CE norm: A Hull material: steel Hull colour: blue Hull shape: S-bilged Keel type: long keel Superstructure material: steel Deck plate thickness (mm): 5mm Deck material: steel Deck finish: new 2017 teak Window frame: steel Portholes: brass Insulation: glasswool Fuel tank (litre): 2500 stainless steel Fuel tank 2 (litre): 2500 steel Level indicator (fuel tank): yes Fuel daytank (litre): 1000 steel Level indicator (daytank): yes Freshwater tank (litre): 2x2500 steel Level indicator (freshwater): yes Blackwater tank (litre): 1000 steel Greywater tank (litre): 1000 steel Wheel steering: hydraulic Outside helm position: yes Emergency tiller: yes More info on hull: paint 2018 More info on paintwork: cold galvanized 2 comoponent Stylish 35m steel built Schooner based on a classic Baltimore fishing Schooner, designed by Jim Krogen. Commissioned and built in 1987 and since used for day tourist trips along the Portuguese coast. She generates high yields under normal summer season conditions as she offers an exclusive experience to tourists exploring the famous Algarve coastline. 
For more information: SCHOONER BALTIMORE FISHING for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1987,Schooner,Baltimore Fishing,Slup Boote,34.7,diesel,steel,,portugal
21,"2008 Custom 32,4 m KETCH2008 Custom 32,4 m KETCH",1300000.0,türkei,Gino Group,4805552,SG7134 Show more,2008,Custom,"32,4 m KETCH",Ketsch Segelboote,34.4,diesel,steel,,turkey
22,2005 Custom Build Gulet2005 Custom Build Gulet,2650000.0,türkei,Gino Group,491212,Ref. number is G20465. show more,2005,Custom Build,Gulet,Segelyachten,34.0,diesel,wood,,turkey
23,2018 Gulet 34m2018 Gulet 34m,1350000.0,"istanbul, türkei",Portofino Yachting,7948588,"This Gulet is a high quality yacht 34 meters long, built in 2018. Modern and spacious cabins, saloon and deck have been specially designed for guest comfort and offers accommodation for up to 12 guests with 2 Master, 2 Double cabins , 2 Twin. Each cabin has a private shower and toilet and all tour cabins are air-conditioned.
You have a separate fully equipped kitchen, an indoor and outdoor dining area and an air-conditioned lounge. There is a TV, DVD, stereo system in the living room. In addition, there are sufficient sunbathing mats in a large area on the deck.
REMOTE PURCHASE AVAILABLE -Find the boat -Agree on the deal-Arrange an international surveyor (either for pre-survey or full survey)-Conference call viewings for more-Remote paperwork -Close the deal-Manage the transfer or transport to your desired destination and start your new journey
*Italiano
Questo caicco è uno yacht di alta qualità lungo 34 metri, costruito nel 2018. Cabine moderne e spaziose, salone e ponte sono stati progettati appositamente per il comfort degli ospiti e offre alloggio per un massimo di 12 ospiti con 2 cabine Master, 2 Double, 2 Twin. Ogni cabina ha una doccia e servizi igienici privati ??e tutte le cabine del tour sono dotate di aria condizionata.
Dispone di una cucina separata completamente attrezzata, di una zona pranzo interna ed esterna e di un salone climatizzato. C'è una TV, DVD, impianto stereo nel soggiorno. Inoltre, ci sono sufficienti materassini prendisole in un'ampia area sul ponte.
 
ACQUISTO A DISTANZA DISPONIBILE- Trovi La Barca- Mettetevi D'accordo- Organizzare un Survey Internatzionale (per pre-survey o completo)- Teleconferenza e Videochiamata per ulteriori informazioni- Preparare i documenti da lontano- Concludere l'affare- Organizzare il trasferimento o il trasporto verso la destinazione desiderata e iniza il tuo nuovo viaggioMehr anzeigen",2018,Gulet,34m,Gulets (Segel),34.0,diesel,wood,,turkey
24,2000 Multiplast Maxi Catamaran2000 Multiplast Maxi Catamaran,1600000.0,"mataron, spanien",Bernard Gallay Yacht Brokerage,6350668,"OCEAN PEARL is the ex Club Mediterrannée winner of the Race in 2001 (around the world regatta) with New Zealand skipper Grant Dalton. She had a fantastic track of records and prize list before she undergone similarly to her sistership ex Swift, a complete refit and conversion project into a fantastic maxi cruiser catamaran with light and comfortable accommodation for fast crossing and blue waters cruising. 
The conversion has been done choosing high quality equipment and taking a special care to keep the weight as close as possible as original when she was meant to race around the world. The result is that only 3 more tons have been added although OCEAN PEARL is now incomparably more easy to sail and comfortable to live aboard.
One of the of the major achievement of OCEAN PEARL is that she has successfully been converted from being one of the best performing racing machine in the world to the fastest sailing cruising catamaran ever.Mehr anzeigen",2000,Multiplast,Maxi Catamaran,Segelyachten,33.5,diesel,composite,,spain
25,2000 Multiplast CATA MULTIPLAST 1102000 Multiplast CATA MULTIPLAST 110,2145000.0,"cannes, alpes-maritimes ( 06 )",XBOAT,8485538,"2000 MULTIPLAST CATA MULTIPLAST 110,
XBOAT ref 4856. More information and photos on the site xboat.frMehr anzeigen",2000,Multiplast,CATA MULTIPLAST 110,Daysailers,33.23,diesel,other,,afghanistan
26,2000 Multiplast Ocean Pearl ex Club Med2000 Multiplast Ocean Pearl ex Club Med,1600000.0,"barcelona, spanien",Barcelona Yachting,8426422,MAXI CATAMARAN OCEAN PEARL ex Club Med from MULTIPLAST from 2000. Virgin Island Flag. Complete file on requestMehr anzeigen,2000,Multiplast,Ocean Pearl ex Club Med,Katamarane und Trimarane,33.23,diesel,GFK / fiberglas / polyester,,spain
27,2008 Custom GULET2008 Custom GULET,1200000.0,türkei,Gino Group,6393608,Custom Built Gulet Show more,2008,Custom,GULET,Gulets (Segel),33.0,diesel,wood,,turkey
